Date,Close,Volume,Price,Open,High,Low,Change %
2004-01-01,1131.130005,32820000000,"1,131.10","1,111.90","1,155.40","1,105.10",1.73%
2004-02-01,1144.939941,27985600000,"1,144.90","1,131.10","1,159.00","1,124.40",1.22%
2004-03-01,1126.209961,33597900000,"1,126.20","1,144.90","1,163.20","1,087.10",-1.63%
2004-04-01,1107.300049,31611900000,"1,107.30","1,126.20","1,150.60","1,107.20",-1.68%
2004-05-01,1120.680054,29326400000,"1,120.70","1,107.30","1,127.70","1,076.30",1.21%
2004-06-01,1140.839966,27529500000,"1,140.80","1,120.70","1,146.30","1,113.30",1.79%
2004-07-01,1101.719971,29285600000,"1,101.70","1,140.80","1,140.80","1,078.80",-3.43%
2004-08-01,1104.23999,26586800000,"1,104.20","1,101.70","1,109.70","1,060.70",0.23%
2004-09-01,1114.579956,26829870000,"1,114.60","1,104.20","1,131.50","1,099.10",0.94%
2004-10-01,1130.199951,31511000000,"1,130.20","1,114.60","1,142.00","1,090.20",1.40%
2004-11-01,1173.819946,30460280000,"1,173.80","1,130.20","1,188.50","1,127.50",3.86%
2004-12-01,1211.920044,31102500000,"1,211.90","1,173.80","1,217.30","1,173.80",3.25%
2005-01-01,1181.27002,31498800000,"1,181.30","1,211.90","1,217.90","1,163.80",-2.52%
2005-02-01,1203.599976,29297410000,"1,203.60","1,181.30","1,212.40","1,181.00",1.89%
2005-03-01,1180.589966,39014150000,"1,180.60","1,203.60","1,229.10","1,163.70",-1.91%
2005-04-01,1156.849976,43424270000,"1,156.80","1,180.60","1,191.90","1,136.20",-2.02%
2005-05-01,1191.5,39321990000,"1,191.50","1,156.80","1,199.60","1,146.20",3.00%
2005-06-01,1191.329956,40334040000,"1,191.30","1,191.50","1,219.60","1,188.30",-0.02%
2005-07-01,1234.180054,37464670000,"1,234.20","1,191.30","1,245.20","1,183.50",3.60%
2005-08-01,1220.329956,42030090000,"1,220.30","1,234.20","1,245.90","1,201.10",-1.13%
2005-09-01,1228.810059,44777510000,"1,228.80","1,220.30","1,243.10","1,205.30",0.70%
2005-10-01,1207.01001,49793790000,"1,207.00","1,228.80","1,233.30","1,168.20",-1.77%
2005-11-01,1249.47998,45102870000,"1,249.50","1,207.00","1,270.60","1,201.10",3.52%
2005-12-01,1248.290039,41756130000,"1,248.30","1,249.50","1,275.80","1,246.60",-0.10%
2006-01-01,1280.079956,49211650000,"1,280.10","1,248.30","1,294.90","1,245.70",2.55%
2006-02-01,1280.660034,42859940000,"1,280.70","1,280.10","1,297.60","1,253.60",0.05%
2006-03-01,1294.869995,50905040000,"1,294.80","1,280.70","1,310.90","1,268.40",1.10%
2006-04-01,1310.609985,43308430000,"1,310.60","1,302.90","1,318.20","1,280.70",1.22%
2006-05-01,1270.089966,54312830000,"1,270.10","1,310.60","1,326.70","1,245.30",-3.09%
2006-06-01,1270.199951,54873260000,"1,270.20","1,270.00","1,290.70","1,219.30",0.01%
2006-07-01,1276.660034,46348220000,"1,276.70","1,270.10","1,280.40","1,224.50",0.51%
2006-08-01,1303.819946,50485620000,"1,303.80","1,278.50","1,306.70","1,261.30",2.12%
2006-09-01,1335.849976,49001440000,"1,335.80","1,303.80","1,340.30","1,290.90",2.45%
2006-10-01,1377.939941,56793620000,"1,377.90","1,335.80","1,389.50","1,327.10",3.15%
2006-11-01,1400.630005,55343930000,"1,400.60","1,377.80","1,407.90","1,361.00",1.65%
2006-12-01,1418.300049,47578780000,"1,418.30","1,400.60","1,431.80","1,385.90",1.26%
2007-01-01,1438.23999,56686200000,"1,438.20","1,418.00","1,441.60","1,404.00",1.40%
2007-02-01,1406.819946,51844990000,"1,406.80","1,437.90","1,461.60","1,389.40",-2.18%
2007-03-01,1420.859985,67622250000,"1,420.90","1,406.80","1,438.90","1,364.00",1.00%
2007-04-01,1482.369995,57032470000,"1,482.40","1,420.80","1,498.00","1,416.40",4.33%
2007-05-01,1530.619995,64958050000,"1,530.60","1,482.40","1,535.60","1,476.70",3.25%
2007-06-01,1503.349976,65322800000,"1,503.30","1,530.60","1,540.60","1,484.20",-1.78%
2007-07-01,1455.27002,70337430000,"1,455.30","1,504.70","1,555.90","1,454.20",-3.19%
2007-08-01,1473.98999,91381760000,"1,474.00","1,455.20","1,503.90","1,370.60",1.28%
2007-09-01,1526.75,57809700000,"1,526.80","1,474.00","1,538.70","1,439.30",3.58%
2007-10-01,1549.380005,76022580000,"1,549.40","1,527.30","1,576.10","1,489.60",1.48%
2007-11-01,1481.140015,86246950000,"1,481.10","1,545.80","1,545.80","1,406.10",-4.41%
2007-12-01,1468.359985,64821670000,"1,468.40","1,479.60","1,523.60","1,435.70",-0.86%
2008-01-01,1378.550049,98475340000,"1,378.50","1,468.00","1,471.80","1,270.00",-6.12%
2008-02-01,1330.630005,78536130000,"1,330.60","1,378.60","1,396.00","1,316.80",-3.47%
2008-03-01,1322.699951,93189170000,"1,322.70","1,330.50","1,359.70","1,257.00",-0.59%
2008-04-01,1385.589966,85978630000,"1,385.60","1,326.40","1,404.60","1,324.30",4.76%
2008-05-01,1400.380005,80990480000,"1,400.40","1,386.00","1,440.20","1,373.10",1.07%
2008-06-01,1280.0,96614040000,"1,280.00","1,399.60","1,404.00","1,272.00",-8.60%
2008-07-01,1267.380005,124980570000,"1,267.40","1,276.70","1,292.20","1,200.40",-0.98%
2008-08-01,1282.829956,86266010000,"1,282.80","1,269.40","1,313.20","1,247.50",1.22%
2008-09-01,1166.359985,140007320000,"1,166.40","1,287.80","1,303.00","1,106.40",-9.07%
2008-10-01,968.75,159823030000,968.80,"1,164.20","1,167.00",839.80,-16.94%
2008-11-01,896.23999,115660210000,896.20,968.70,"1,007.50",741.00,-7.49%
2008-12-01,903.25,112884470000,903.20,888.60,918.90,815.70,0.78%
2009-01-01,825.880005,112090640000,825.90,903.00,943.90,804.30,-8.56%
2009-02-01,735.090027,124492210000,735.10,823.10,875.00,734.50,-10.99%
2009-03-01,797.869995,161843640000,797.90,729.60,833.00,666.80,8.54%
2009-04-01,872.809998,138855320000,872.80,793.60,888.70,783.30,9.39%
2009-05-01,919.140015,131614940000,919.10,872.70,930.20,866.10,5.30%
2009-06-01,919.320007,112653150000,919.30,923.30,956.20,888.90,0.02%
2009-07-01,987.47998,106635790000,987.50,920.80,996.70,869.30,7.42%
2009-08-01,1020.619995,116059270000,"1,020.60",990.20,"1,039.50",978.50,3.35%
2009-09-01,1057.079956,112295490000,"1,057.10","1,019.50","1,080.20",992.00,3.58%
2009-10-01,1036.189941,113410990000,"1,036.20","1,054.90","1,101.40","1,020.00",-1.98%
2009-11-01,1095.630005,84981530000,"1,095.60","1,036.20","1,113.70","1,029.40",5.73%
2009-12-01,1115.099976,89515330000,"1,115.10","1,098.90","1,130.40","1,085.90",1.78%
2010-01-01,1073.869995,90947580000,"1,073.90","1,116.60","1,150.50","1,071.60",-3.69%
2010-02-01,1104.48999,84561340000,"1,104.50","1,073.90","1,112.40","1,044.50",2.85%
2010-03-01,1169.430054,103683550000,"1,169.40","1,105.40","1,180.70","1,105.40",5.88%
2010-04-01,1186.689941,116741910000,"1,186.70","1,171.20","1,219.80","1,170.70",1.48%
2010-05-01,1089.410034,127662780000,"1,089.40","1,188.60","1,205.10","1,040.80",-8.20%
2010-06-01,1030.709961,110106750000,"1,030.70","1,087.30","1,131.20","1,028.30",-5.39%
2010-07-01,1101.599976,94778110000,"1,101.60","1,031.10","1,121.00","1,010.90",6.88%
2010-08-01,1049.329956,85738250000,"1,049.30","1,107.50","1,129.20","1,039.70",-4.75%
2010-09-01,1141.199951,79589450000,"1,141.20","1,049.70","1,157.20","1,049.70",8.76%
2010-10-01,1183.26001,89536270000,"1,183.30","1,143.50","1,196.10","1,131.90",3.69%
2010-11-01,1180.550049,87151070000,"1,180.50","1,185.70","1,227.10","1,173.00",-0.24%
2010-12-01,1257.640015,80984530000,"1,257.60","1,186.60","1,262.60","1,186.60",6.53%
2011-01-01,1286.119995,92164940000,"1,286.10","1,257.60","1,302.70","1,257.60",2.27%
2011-02-01,1327.219971,59223660000,"1,327.20","1,289.10","1,344.10","1,289.10",3.20%
2011-03-01,1325.829956,89507640000,"1,325.80","1,328.60","1,332.30","1,249.00",-0.11%
2011-04-01,1363.609985,77364810000,"1,363.60","1,329.50","1,364.60","1,294.70",2.85%
2011-05-01,1345.199951,81708980000,"1,345.20","1,365.20","1,370.60","1,311.80",-1.35%
2011-06-01,1320.640015,86122730000,"1,320.60","1,345.20","1,345.20","1,258.10",-1.83%
2011-07-01,1292.280029,81102170000,"1,292.30","1,320.60","1,356.50","1,282.90",-2.14%
2011-08-01,1218.890015,108419170000,"1,218.90","1,292.60","1,307.40","1,101.50",-5.68%
2011-09-01,1131.420044,102786820000,"1,131.40","1,219.10","1,229.30","1,114.20",-7.18%
2011-10-01,1253.300049,98063670000,"1,253.30","1,131.20","1,292.70","1,074.80",10.77%
2011-11-01,1246.959961,84275050000,"1,247.00","1,251.00","1,277.50","1,158.70",-0.50%
2011-12-01,1257.599976,74742430000,"1,257.60","1,246.90","1,269.40","1,202.40",0.85%
2012-01-01,1312.410034,79567560000,"1,312.40","1,258.90","1,333.50","1,258.90",4.36%
2012-02-01,1365.680054,78385710000,"1,365.70","1,312.50","1,378.00","1,312.50",4.06%
2012-03-01,1408.469971,83899660000,"1,408.50","1,365.90","1,419.20","1,340.00",3.13%
2012-04-01,1397.910034,74761710000,"1,397.90","1,408.50","1,422.40","1,357.40",-0.75%
2012-05-01,1310.329956,86920490000,"1,310.30","1,397.90","1,415.30","1,292.00",-6.27%
2012-06-01,1362.160034,81582440000,"1,362.20","1,309.90","1,363.50","1,266.70",3.96%
2012-07-01,1379.319946,73103810000,"1,379.30","1,362.30","1,391.70","1,325.40",1.26%
2012-08-01,1406.579956,70283810000,"1,406.60","1,379.30","1,426.70","1,354.70",1.98%
2012-09-01,1440.670044,69784280000,"1,440.70","1,406.50","1,474.50","1,396.60",2.42%
2012-10-01,1412.160034,71752320000,"1,412.20","1,440.90","1,471.00","1,403.30",-1.98%
